x1,x2,x3,x4,binary_label,class_label,label_a,label_b,label_c,split
-3.667,-3.500,-3.000,-3.000,0,class_c,0,0,0,train
-1.333,-0.750,-0.400,-0.167,0,class_c,0,0,0,train
1.000,2.000,2.200,2.667,1,class_b,1,1,1,train
3.333,-2.500,-1.400,-0.667,1,class_a,1,0,1,train
-2.000,0.250,1.200,2.167,0,class_c,0,1,1,train
0.333,3.000,-2.400,-1.167,1,class_b,1,0,0,train
2.667,-1.500,0.200,1.667,1,class_a,1,1,1,train
-2.667,1.250,2.800,-1.667,0,class_c,0,1,0,val
-0.333,-3.250,-0.800,1.167,0,class_a,0,1,1,val
2.000,-0.500,1.800,-2.167,1,class_a,1,1,0,inference
-3.333,2.250,-1.800,0.667,0,class_b,0,0,0,train
-1.000,-2.250,0.800,-2.667,0,class_c,0,1,0,train
1.333,0.500,-2.800,0.167,1,class_a,1,0,1,train
3.667,3.250,-0.200,3.000,1,class_b,1,0,1,train
-1.667,-1.250,2.400,-0.333,0,class_c,0,1,0,train
0.667,1.500,-1.200,2.500,1,class_b,1,0,1,train
3.000,-3.000,1.400,-0.833,0,class_a,0,1,1,train
-2.333,-0.250,-2.200,2.000,0,class_b,0,0,1,val
0.000,2.500,0.400,-1.333,1,class_b,1,0,0,val
2.333,-2.000,3.000,1.500,0,class_c,1,1,1,inference
-3.000,0.750,-0.600,-1.833,0,class_b,0,0,0,train
-0.667,3.500,2.000,1.000,1,class_b,1,1,1,train
1.667,-1.000,-1.600,-2.333,1,class_a,1,0,0,train
-3.667,1.750,1.000,0.500,0,class_b,0,1,0,train
-1.333,-2.750,-2.600,-2.833,0,class_a,0,0,0,train
1.000,0.000,0.000,0.000,1,class_a,1,0,1,train
3.333,2.750,2.600,2.833,1,class_b,1,1,1,train
-2.000,-1.750,-1.000,-0.500,0,class_c,0,0,0,val
0.333,1.000,1.600,2.333,1,class_c,1,1,1,val
2.667,-3.500,-2.000,-1.000,1,class_a,0,0,1,inference
-2.667,-0.750,0.600,1.833,0,class_c,0,1,1,train
-0.333,2.000,-3.000,-1.500,1,class_b,1,0,0,train
2.000,-2.500,-0.400,1.333,1,class_a,0,1,1,train
-3.333,0.250,2.200,-2.000,0,class_c,0,1,0,train
-1.000,3.000,-1.400,0.833,1,class_b,1,0,1,train
1.333,-1.500,1.200,-2.500,0,class_a,0,1,0,train
3.667,1.250,-2.400,0.333,1,class_a,1,0,1,train
-1.667,-3.250,0.200,-3.000,0,class_c,0,1,0,val
0.667,-0.500,2.800,-0.167,0,class_c,1,1,1,val
3.000,2.250,-0.800,2.667,1,class_a,1,0,1,inference
-2.333,-2.250,1.800,-0.667,0,class_c,0,1,0,train
0.000,0.500,-1.800,2.167,1,class_b,1,0,1,train
2.333,3.250,0.800,-1.167,1,class_b,1,0,0,train
-3.000,-1.250,-2.800,1.667,0,class_b,0,0,1,train
-0.667,1.500,-0.200,-1.667,0,class_b,1,0,0,train
1.667,-3.000,2.400,1.167,0,class_c,0,1,1,train
-3.667,-0.250,-1.200,-2.167,0,class_c,0,0,0,train
-1.333,2.500,1.400,0.667,0,class_b,1,1,0,val
1.000,-2.000,-2.200,-2.667,0,class_a,0,0,0,val
3.333,0.750,0.400,0.167,1,class_a,1,1,1,inference
-2.000,3.500,3.000,3.000,0,class_b,1,1,1,train
0.333,-1.000,-0.600,-0.333,0,class_a,0,0,0,train
2.667,1.750,2.000,2.500,1,class_b,1,1,1,train
-2.667,-2.750,-1.600,-0.833,0,class_c,0,0,0,train
-0.333,0.000,1.000,2.000,0,class_c,0,1,1,train
2.000,2.750,-2.600,-1.333,1,class_a,1,0,0,train
-3.333,-1.750,0.000,1.500,0,class_c,0,1,0,train
-1.000,1.000,2.600,-1.833,0,class_c,0,1,0,val
1.333,-3.500,-1.000,1.000,0,class_a,0,1,1,val
3.667,-0.750,1.600,-2.333,1,class_a,1,1,0,inference
-1.667,2.000,-2.000,0.500,1,class_b,1,0,0,train
0.667,-2.500,0.600,-2.833,0,class_a,0,1,0,train
3.000,0.250,-3.000,0.000,1,class_a,1,0,1,train
-2.333,3.000,-0.400,2.833,1,class_b,1,0,1,train
0.000,-1.500,2.200,-0.500,0,class_c,0,1,0,train
2.333,1.250,-1.400,2.333,1,class_a,1,0,1,train
-3.000,-3.250,1.200,-1.000,0,class_c,0,1,0,train
-0.667,-0.500,-2.400,1.833,1,class_b,0,0,1,val
1.667,2.250,0.200,-1.500,1,class_b,1,0,0,val
-3.667,-2.250,2.800,1.333,0,class_c,0,1,0,inference
-1.333,0.500,-0.800,-2.000,0,class_b,0,0,0,train
1.000,3.250,1.800,0.833,1,class_b,1,1,1,train
3.333,-1.250,-1.800,-2.500,1,class_a,1,0,0,train
-2.000,1.500,0.800,0.333,0,class_b,0,1,0,train
0.333,-3.000,-2.800,-3.000,0,class_a,0,0,0,train
2.667,-0.250,-0.200,-0.167,1,class_a,1,0,1,train
-2.667,2.500,2.400,2.667,0,class_b,0,1,1,train
-0.333,-2.000,-1.200,-0.667,0,class_a,0,0,0,val
2.000,0.750,1.400,2.167,1,class_a,1,1,1,val
-3.333,3.500,-2.200,-1.167,0,class_b,1,0,0,inference
-1.000,-1.000,0.400,1.667,0,class_c,0,1,1,train
