customer_id,age,tenure_months,monthly_charges,support_calls,weekly_usage_hours,region,contract_type,signup_date,churn,split
C001,21,1,35,2,6,north,monthly,2025-01-15,0,train
C002,28,12,52,7,19,west,annual,2024-06-15,1,train
C003,35,23,69,3,32,east,two_year,2024-11-15,0,train
C004,42,34,86,8,45,south,monthly,2023-04-15,1,train
C005,49,45,103,4,58,north,two_year,2022-09-15,0,train
C006,56,56,120,0,11,west,monthly,2021-02-15,0,val
C007,63,67,47,5,24,west,annual,2020-07-15,0,val
C008,21,8,64,1,37,east,two_year,2025-12-15,0,inference
C009,28,19,,6,50,south,annual,2024-05-15,1,train
C010,35,30,98,2,63,north,two_year,2023-10-15,0,train
C011,42,41,115,7,16,west,monthly,2022-03-15,1,train
C012,,52,42,3,29,east,annual,2021-08-15,0,train
C013,56,63,59,8,42,east,monthly,2020-01-15,1,train
C014,63,4,76,4,55,south,annual,2025-06-15,1,val
C015,21,15,93,0,8,north,two_year,2024-11-15,0,val
C016,28,26,110,5,21,west,monthly,2023-04-15,1,inference
C017,35,37,37,1,34,east,two_year,2022-09-15,0,train
C018,42,48,54,6,47,,monthly,2021-02-15,1,train
C019,49,59,71,2,60,south,annual,2021-07-15,0,train
C020,56,70,88,7,13,north,two_year,2020-12-15,1,train
C021,63,11,105,3,26,west,annual,2025-05-15,1,train
C022,21,22,122,8,39,east,two_year,2024-10-15,1,val
C023,28,33,49,4,52,south,monthly,2023-03-15,1,val
C024,35,44,66,0,65,north,annual,2022-08-15,0,inference
C025,42,55,83,5,18,north,monthly,2021-01-15,1,train
C026,49,66,100,1,31,west,annual,2020-06-15,0,train
C027,56,7,117,6,44,east,two_year,2025-11-15,1,train
C028,63,18,44,2,57,south,monthly,2024-04-15,0,train
C029,21,29,61,7,10,north,two_year,2023-09-15,1,train
C030,28,40,,3,23,west,monthly,2022-02-15,1,val
C031,35,51,95,8,36,west,annual,2021-07-15,1,val
C032,42,62,112,4,49,east,two_year,2020-12-15,0,inference
C033,49,3,39,0,62,south,annual,2025-05-15,0,train
C034,56,14,56,5,15,north,two_year,2024-10-15,1,train
C035,63,25,73,1,28,west,monthly,2023-03-15,0,train
C036,21,36,90,6,41,east,annual,2022-08-15,1,train
C037,28,47,107,2,54,east,monthly,2022-01-15,0,train
C038,,58,124,7,7,south,annual,2021-06-15,1,val
C039,42,69,51,3,20,north,two_year,2020-11-15,0,val
C040,49,10,68,8,33,west,monthly,2025-04-15,1,inference
C041,56,21,85,4,46,east,two_year,2024-09-15,0,train
C042,63,32,102,0,59,south,monthly,2023-02-15,0,train
C043,21,43,119,5,12,south,annual,2022-07-15,1,train
C044,28,54,46,1,25,north,two_year,2021-12-15,0,train
C045,35,65,63,6,38,west,annual,2020-05-15,1,train
C046,42,6,80,2,51,east,two_year,2025-10-15,0,val
C047,49,17,97,7,64,south,monthly,2024-03-15,1,val
C048,56,28,114,3,17,north,annual,2023-08-15,1,inference
C049,63,39,41,8,30,,monthly,2022-01-15,1,train
C050,21,50,58,4,43,west,annual,2021-06-15,0,train
C051,28,61,75,0,56,east,two_year,2020-11-15,0,train
C052,35,2,92,5,9,south,monthly,2025-04-15,1,train
C053,42,13,109,1,22,north,two_year,2024-09-15,0,train
C054,49,24,36,6,35,west,monthly,2023-02-15,1,val
C055,56,35,53,2,48,west,annual,2023-07-15,0,val
C056,63,46,,7,61,east,two_year,2022-12-15,1,inference
C057,21,57,87,3,14,south,annual,2021-05-15,0,train
C058,28,68,104,8,27,north,two_year,2020-10-15,1,train
C059,35,9,121,4,40,west,monthly,2025-03-15,1,train
C060,42,20,48,0,53,east,annual,2024-08-15,0,train
C061,49,31,65,5,6,east,monthly,2023-01-15,1,train
C062,56,42,82,1,19,south,annual,2022-06-15,0,val
C063,,53,99,6,32,north,two_year,2021-11-15,1,val
C064,21,64,116,2,45,west,monthly,2020-04-15,0,inference
C065,28,5,43,7,58,east,two_year,2025-09-15,1,train
C066,35,16,60,3,11,south,monthly,2024-02-15,1,train
C067,42,27,77,8,24,south,annual,2023-07-15,1,train
C068,49,38,94,4,37,north,two_year,2022-12-15,0,train
C069,56,49,111,0,50,west,annual,2021-05-15,0,train
C070,63,60,38,5,63,east,two_year,2020-10-15,0,val
C071,21,1,55,1,16,south,monthly,2025-03-15,0,val
C072,28,12,72,6,29,north,annual,2024-08-15,1,inference
