house_size_sqft,bedrooms,house_age_years,distance_km,price_thousands
850,2,30,12,169.0
920,2,18,9,205.7
1050,3,25,15,218.5
1100,3,10,7,256.5
1250,3,15,11,276.5
1320,3,5,6,301.6
1450,4,22,14,308.4
1500,3,8,5,337.1
1650,4,12,10,355.4
1720,4,3,4,399.2
1800,4,20,13,372.5
1950,4,7,8,426.4
2050,5,15,12,435.0
2150,4,2,3,480.9
2250,5,18,9,474.1
2380,5,9,7,514.7
2500,5,4,5,546.3
2650,5,14,11,545.3
2750,6,6,6,601.2
2900,5,1,2,625.2
980,2,35,16,185.4
1180,3,28,13,238.5
1380,3,16,9,301.1
1580,4,11,7,354.1
1880,4,24,15,384.7
2080,4,13,10,433.0
2280,5,8,4,505.0
2480,5,19,12,514.2
2680,5,5,6,570.4
2880,6,2,3,633.3
