order_id,date,region,product,category,quantity,unit_price,discount,salesperson
1001,2025-01-03,North,Laptop,Electronics,2,950.0,0.05,Alice
1002,2025-01-05,South,Mouse,Electronics,10,25.0,0.00,Bob
1003,2025-01-07,East,Desk,Furniture,3,320.0,0.10,Carol
1004,2025-01-08,West,Chair,Furniture,6,140.0,0.05,David
1005,2025-01-12,North,Keyboard,Electronics,5,70.0,0.00,Alice
1006,2025-02-02,South,Monitor,Electronics,4,260.0,0.08,Bob
1007,2025-02-06,East,Chair,Furniture,8,135.0,0.05,Carol
1008,2025-02-11,West,Laptop,Electronics,1,1050.0,0.12,David
1009,2025-02-15,North,Desk,Furniture,2,350.0,0.00,Alice
1010,2025-02-18,South,Keyboard,Electronics,7,68.0,0.03,Bob
1011,2025-03-01,East,Mouse,Electronics,12,24.0,0.00,Carol
1012,2025-03-04,West,Monitor,Electronics,5,255.0,0.07,David
