sequence_id,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,class_label,next_value,split
S001,14.760,15.860,16.400,16.940,18.040,18.580,19.120,19.660,20.760,21.300,21.840,22.940,increasing,23.480,train
S002,22.000,20.960,20.480,19.440,18.400,17.360,16.880,15.840,14.800,14.320,13.280,12.240,decreasing,11.200,train
S003,29.240,33.410,33.250,28.760,24.830,24.670,28.840,33.570,33.410,28.920,24.430,24.830,seasonal,29.000,train
S004,35.920,37.000,38.640,39.720,40.800,42.440,43.520,44.600,45.680,47.320,48.400,49.480,increasing,51.120,train
S005,43.160,41.580,40.000,38.980,37.400,35.820,34.240,33.220,31.640,30.060,29.040,27.460,decreasing,25.880,train
S006,19.840,23.704,23.544,19.920,16.296,16.696,20.000,23.304,23.704,20.080,16.456,16.296,seasonal,20.160,val
S007,27.080,27.800,28.520,29.800,30.520,31.240,32.520,33.240,33.960,34.680,35.960,36.680,increasing,37.400,val
S008,33.760,33.100,31.880,30.660,30.000,28.780,27.560,26.340,25.680,24.460,23.240,22.580,decreasing,21.360,inference
S009,41.000,43.438,43.838,41.080,38.322,38.162,41.160,43.598,43.438,41.240,38.482,38.322,seasonal,40.760,train
S010,18.240,19.500,20.760,22.020,23.840,25.100,26.360,28.180,29.440,30.700,31.960,33.780,increasing,35.040,train
S011,24.920,24.060,23.760,22.900,22.040,21.740,20.880,20.020,19.160,18.860,18.000,17.140,decreasing,16.840,train
S012,32.160,37.196,37.036,32.240,26.884,26.724,31.760,37.356,37.196,31.840,27.044,26.884,seasonal,31.920,train
S013,38.840,40.300,41.200,42.100,43.000,44.460,45.360,46.260,47.720,48.620,49.520,50.420,increasing,51.880,train
S014,16.080,14.680,13.280,12.440,11.040,9.640,8.800,7.400,6.000,4.600,3.760,2.360,decreasing,0.960,val
S015,22.760,27.490,27.330,22.840,18.910,18.750,22.920,27.090,27.490,23.000,18.510,18.910,seasonal,23.080,val
S016,30.000,30.540,31.640,32.180,32.720,33.260,34.360,34.900,35.440,36.540,37.080,37.620,increasing,38.160,inference
S017,37.240,36.200,35.160,34.120,33.640,32.600,31.560,31.080,30.040,29.000,27.960,27.480,decreasing,26.440,train
S018,43.920,47.224,47.624,44.000,40.376,40.776,44.080,47.384,47.224,44.160,40.536,40.376,seasonal,44.240,train
S019,21.160,22.240,23.320,24.960,26.040,27.120,28.200,29.840,30.920,32.000,33.640,34.720,increasing,35.800,train
S020,27.840,26.820,25.240,23.660,22.080,21.060,19.480,17.900,16.880,15.300,13.720,12.140,decreasing,11.120,train
S021,35.080,37.518,37.358,35.160,32.402,32.242,35.240,37.678,37.518,34.760,32.562,32.402,seasonal,34.840,train
